VAR_NAMES,LABEL,DATA_TYPE,VALUE_LABELS,MISSING_LIST,JUMP_LIST,HARD_LIMITS,DETECTION_LIMITS,CONTRADICTIONS,SOFT_LIMITS,DISTRIBUTION,DECIMALS,DATA_ENTRY_TYPE,KEY_OBSERVER,KEY_DEVICE,KEY_DATETIME,KEY_STUDY_SEGMENT,VARIABLE_ROLE,VARIABLE_ORDER,LONG_LABEL
NTproBNP.date,NTproBNP.date,datetime,,9991100,NA,,NA,1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.valueQuantity.value,ntprobnp,float,,9991100,NA,[500;1500],NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.code,NTproBNP.code,integer,1 = other | 2 = 33763-4 | 3 = 71425-3 | 4 = 33762-6 | 5 = 83107-3 | 6 =  83108-1 | 7 = 77622-9 | 8 = 77621-1,9991100 |  9991300,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.codeSystem,NTproBNP.codeSystem,integer,1 = other | 2 = http://loinc.org ,9991100 | 9991300,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.unit,NTproBNP.unit,integer,1 = other | 2 = pg/mL | 3 = pg/dL | 4 = pg/100mL | 5 = pg/L | 6 = pg% | 7 = pmol/L | 8 = ng/L | 9 = Mt/m3,9991100 | 9991300,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.unitSystem,NTproBNP.unitSystem,integer,1 = other | 2 = http://unitsofmeasure.org ,9991100 | 9991300,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTproBNP.valueQuantity.comparator,comparator,integer,1 = other | 2 = < | 3 = <= | 4 = > | 5 = >=,9991100,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gender,gender,integer,1 = male | 2 = female | 3 = other | 4 = unknown,9991100 | 9991300,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
birthdate,age,integer,,9991100 | 9991200,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
encounter.start,encounter.start,datetime,,9991100,NA,,NA,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
encounter.end,encounter.end,datetime,,9991100,NA,,NA,1001 | 1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
